bornIn,tmdbId,born,name,bio,died,poster,n.url
null,"""67592""",null,"""Mark Linfield""","""Mark Linfield is a British writer, producer and director of nature documentaries for cinema and television.  He is best known for his work with the BBC Natural History Unit as a producer of two episodes of the television series Planet Earth (2006) and as writer and co-director of the associated feature film Earth (2007)...""",null,null,"""https://themoviedb.org/person/67592"""
null,"""47333""","""1956-05-28""","""John Wells""","""From Wikipedia, the free encyclopedia  John Marcum Wells (born May 28, 1956) is an American theater and television producer, writer and director.  He is best known for his role as executive producer and show runner of the television series ER, Third Watch, and The West Wing.  His company, John Wells Productions, is currently based at Warner Bros.  studios in Burbank, California...""",null,null,"""https://themoviedb.org/person/47333"""
"""Glasgow, Strathclyde, Scotland, UK""","""83287""","""1969-12-05""","""Lynne Ramsay""","""Lynne Ramsay (born 5 December 1969) is a Scottish film director, screenwriter, producer, and cinematographer, best known for the feature films Ratcatcher (1999), Morvern Callar (2002), We Need to Talk about Kevin (2011), and You Were Never Really Here (2017)...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/hmSR9lVV65ojYHyyOtzmNPbVjSY.jpg""","""https://themoviedb.org/person/83287"""
"""Havanna, Cuba""","""41795""","""1961-06-10""","""Manny Coto""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/bcJeO8ZkEmgDK4AmNNyGyRtOSPG.jpg""","""https://themoviedb.org/person/41795"""
null,"""1189125""",null,"""Yin Li""",null,null,null,"""https://themoviedb.org/person/1189125"""
null,"""105287""",null,"""Scott Harris""",null,null,null,"""https://themoviedb.org/person/105287"""
"""London, United Kingdom""","""34949""","""1970-01-01""","""Lucy Walker""","""Lucy Walker (born in London, United Kingdom) is a film director, mostly of theatrical feature documentaries.  On January 25th, 2010 she was nominated for an Academy Award for Best Documentary Feature for Waste Land, which she directed...""",null,null,"""https://themoviedb.org/person/34949"""
null,"""116832""",null,"""Patricia Cardoso""",null,null,null,"""https://themoviedb.org/person/116832"""
null,"""1223815""","""1957-03-04""","""Steve Skrovan""",null,null,null,"""https://themoviedb.org/person/1223815"""
"""London,  England""","""133502""","""1960-03-11""","""Simon Curtis""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/mpMyd3Cc7WG2epXYCbdDmcMX2BD.jpg""","""https://themoviedb.org/person/133502"""
"""LaGrange, Kentucky, USA""","""100036""","""1875-01-22""","""D. W. Griffith""","""David Llewelyn Wark Griffith was a premier pioneering American film director.  He is best known as the director of the controversial and groundbreaking 1915 film The Birth of a Nation and the subsequent film Intolerance (1916).  Griffith's film The Birth of a Nation made pioneering use of advanced camera and narrative techniques, and its immense popularity set the stage for the dominance of the feature-length film...""","""1948-07-23""","""https://image.tmdb.org/t/p/w440_and_h660_face/7EanyqqLfQzS9PnKIBa6w1Rbbi8.jpg""","""https://themoviedb.org/person/100036"""
"""San Jose, California, USA""","""21305""","""1889-12-04""","""Lloyd Bacon""","""Lloyd Bacon was an American stage and silent-era screen actor who is most remembered as a film director, making films in virtually all genres.  Among the 130 films he directed is the 1933 Warner Bros.  classic 42nd Street...""","""1955-11-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/gGQlsA8kdC6Uo9oIM7d0BLLIXwL.jpg""","""https://themoviedb.org/person/21305"""
"""Rome, Italy""","""4410""","""1906-05-08""","""Roberto Rossellini""","""Roberto Rossellini (8 May 1906 – 3 June 1977) was an Italian film director and screenwriter.  Rossellini was one of the directors of the Italian neorealist cinema, contributing films such as Roma città aperta (Rome, Open City 1945) to the movement...""","""1977-06-03""","""https://image.tmdb.org/t/p/w440_and_h660_face/c9SGpj5JFJjMplUnxp3r1vPf4WM.jpg""","""https://themoviedb.org/person/4410"""
"""Summit, New Jersey, USA""","""118415""","""1971-02-26""","""Sean Baker""","""Sean Baker is an American film/TV director and co-creator of Greg the Bunny. 

He is best known for the independent feature films Tangerine, The Florida Project and Starlet...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/bz96USgFMwR3MhrPoGVv84e1R7K.jpg""","""https://themoviedb.org/person/118415"""
null,"""83524""","""1967-05-30""","""Shinobu Yaguchi""","""Shinobu Yaguchi is a Japanese film director and screenwriter.  He specializes in feel-good \""zero to hero\"" films, where a group of people take up an unlikely activity, face a number of obstacles, but finally succeed. [citation needed] His film Waterboys was particularly successful and led to a TV series which entered its third season in 2005.  He was awarded Best Screenplay at the 2005 Yokohama Film Festival for his film Swing Girls...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/1wwEJVpbCv1xtSB6PLUK3ye6MXo.jpg""","""https://themoviedb.org/person/83524"""
"""USA""","""1101410""","""1983-01-01""","""Dave Green""",null,null,null,"""https://themoviedb.org/person/1101410"""
null,"""107148""","""2018-05-01""","""Michael Tucker""","""Michael Tucker, an American documentary film director, was born in Honolulu, Hawaii.  He is currently best known for his recent documentary The Prisoner or: How I Planned to Kill Tony Blair.  He also directed a documentary in Iraq during the 2003 Iraqi War entitled Gunner Palace. 

Description above from the Wikipedia article Michael Tucker(director), licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/107148"""
"""London, England""","""95329""","""1937-09-24""","""Kevin Connor""","""From Wikipedia, the free encyclopedia.   Kevin Connor is an English film and television director currently based in Hollywood.   Connor was born in London on the 24 of September 1937 and grew up during the 2nd World War.  Later, he became a member of the sound departments of several movies, then a cutter, editor, and finally a director...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/sQifjywTBDlLuPnTODHcWxIxwo0.jpg""","""https://themoviedb.org/person/95329"""
null,"""1827779""",null,"""Shannon Hartman""",null,null,null,"""https://themoviedb.org/person/1827779"""
"""Fountain, Colorado, United States""","""1293994""","""1981-06-28""","""Jon Watts""","""Jon Watts is an American film director, producer and screenwriter.  He directed the films Clown and Cop Car and episodes of the Onion News Network. 

Watts was born and raised in Fountain, Colorado.  He studied film at New York University. 

Before directing movies, Watts directed commercials for production company Park Pictures.  When trying to get the job directing Spider-Man: Homecoming, Watts got a tattoo of Spider-Man on his chest to make himself \""stand out in the field\""...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg""","""https://themoviedb.org/person/1293994"""
"""Fresno, California, USA""","""78615""","""1930-12-21""","""Phil Roman""",null,null,null,"""https://themoviedb.org/person/78615"""
"""Harrogate, Yorkshire, England, UK""","""586002""","""1973-03-07""","""Andrew Haigh""","""Andrew Haigh (born 7 March 1973) is an English director, screenwriter and producer...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/pJAv105SAZiQ3lGY2wGURz4bENp.jpg""","""https://themoviedb.org/person/586002"""
"""Kittanning, Pennsylvania, USA""","""1213162""","""1961-12-13""","""Todd Holland""","""Todd Holland (born December 13, 1961) is an American television and film director and producer...""",null,null,"""https://themoviedb.org/person/1213162"""
null,"""1402638""",null,"""Jim Weedon""",null,null,null,"""https://themoviedb.org/person/1402638"""
""" Paris, France""","""1137890""","""1976-04-11""","""Coralie""",null,null,null,"""https://themoviedb.org/person/1137890"""
null,"""110834""",null,"""John Murlowski""","""John Murlowski is an American film director, producer and writer.  After graduating from Art Center College of Design in Pasadena, Murlowski spent five years directing commercials and educational films.  He is perhaps best know for the thriller Black Cadillac, a feature film based on a true road rage incident in which John and his friends were almost killed.  In 2004, Murlowski launched the production company Maple Island Films...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/tgTQjYtBou3IiJjpYgG17RNch9q.jpg""","""https://themoviedb.org/person/110834"""
"""Paris, France""","""4586""","""1957-07-04""","""Pitof""","""From Wikipedia, the free encyclopedia.  

 

Jean-Christophe \""Pitof\"" Comar (born 4 July 1957) is a French film and visual effects director notable for Vidocq and Catwoman. 

Description above from the Wikipedia article Pitof, licensed under CC-BY-SA,full list of contributors on Wikipedia...""",null,"""https://image.tmdb.org/t/p/w440_and_h660_face/z7lKv1EscqXN6LjxEj45gE3D1jA.jpg""","""https://themoviedb.org/person/4586"""
"""White Plains, New York, USA""","""1361389""","""1987-02-26""","""Dan Berk""",null,null,null,"""https://themoviedb.org/person/1361389"""
"""San Francisco, California, USA""","""356""","""1946-11-18""","""Jack Green""",null,null,null,"""https://themoviedb.org/person/356"""
"""St. Louis, Missouri, USA""","""90375""","""1888-04-16""","""Christy Cabanne""","""William Christy Cabanne (April 16, 1888 – October 15, 1950) was an American film director, screenwriter and silent film actor...""","""1950-10-16""","""https://image.tmdb.org/t/p/w440_and_h660_face/ie0zr5ZBQzvpkUepozOJ0Hlw8OS.jpg""","""https://themoviedb.org/person/90375"""
"""York, Nebraska, USA""","""108106""","""1874-01-06""","""Fred Niblo""","""From Wikipedia, the free encyclopedia

Fred Niblo (January 6, 1874 – November 11, 1948) was an American pioneer film actor, director and producer.   Niblo was born Frederick Liedtke (several sources give \""Frederico Nobile\"", apparently erroneously) in York, Nebraska, to a French mother and a father who had served as a captain in the American Civil War and was wounded at the Battle of Gettysburg...""","""1948-11-11""",null,"""https://themoviedb.org/person/108106"""
"""Paris, France""","""33166""","""1898-11-11""","""René Clair""","""René Clair was a French filmmaker and writer.  He first established his reputation in the 1920s as a director of silent films in which comedy was often mingled with fantasy.  He went on to make some of the most innovative early sound films in France, before going abroad to work in the UK and USA for more than a decade...""","""1981-03-15""","""https://image.tmdb.org/t/p/w440_and_h660_face/wUMa7OFmeYxmBsDlGHgHKuOtK3Y.jpg""","""https://themoviedb.org/person/33166"""
"""Prague, Czechoslovakia [now Czech Republic]""","""84736""","""1933-07-10""","""Ivan Passer""","""From Wikipedia, the free encyclopedia. 

Ivan Passer (born July 10, 1933) is a Czech-born film director and screenwriter. 

A significant figure in the Czech New Wave of the mid-1960s, Passer worked closely with Miloš Forman on many of his films, and directed his first feature in 1965.  Following the Soviet invasion in 1968, Passer defected to the West, aided by Carlo Ponti and has been living and working in the United States since then...""","""2020-01-09""","""https://image.tmdb.org/t/p/w440_and_h660_face/fCG4NeOJwpn36ToYozFjFlOHPEG.jpg""","""https://themoviedb.org/person/84736"""
null,"""1379396""",null,"""Miller Drake""",null,null,null,"""https://themoviedb.org/person/1379396"""
"""Plainfield, New Jersey, USA""","""5446""","""1900-01-23""","""David Hand""","""“I was born in the shadow of my father’s brick-yard at Plainfield, N.  J.  Visited Plainfield High School.  Tried lumber-jacking in the North Woods.  No soap! Studied cartooning under Orr and DeBeck at the Chicago Academy of Fine Arts in 1917-18, and while there located my future wife.  Started animating Andy Gump in Chicago 1919.  Fascinated by easy work and big money decided to stick...""","""1986-10-11""","""https://image.tmdb.org/t/p/w440_and_h660_face/z6OfyPCRbDsT6qUGOjcsS39ZmBb.jpg""","""https://themoviedb.org/person/5446"""
"""Caracas, Venezuela""","""19656""","""1974-09-10""","""Sebastián Gutiérrez""","""From Wikipedia, the free encyclopedia. 

Sebastián Gutiérrez (born September 10, 1974) is an award-winning Venezuelan-American film director, screenwriter, film producer and occasional actor.  He won the Critics' Award at the Festival du Film Policier de Cognac for his directorial debut Judas Kiss. 

Description above from the Wikipedia article Sebastián Gutiérrez, licensed under CC-BY-SA, full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/19656"""
null,"""1335642""",null,"""Robert Gordon""",null,null,"""https://image.tmdb.org/t/p/w440_and_h660_face/ga18g92FNpOoHsPGlPgXrlZtAcd.jpg""","""https://themoviedb.org/person/1335642"""
null,"""101238""","""1943-10-17""","""Michael Reeves""",null,"""1969-02-11""",null,"""https://themoviedb.org/person/101238"""
null,"""108670""",null,"""John Keitel""",null,null,null,"""https://themoviedb.org/person/108670"""
"""Montréal, Québec, Canada""","""60295""","""1943-07-31""","""John N. Smith""",null,null,null,"""https://themoviedb.org/person/60295"""
"""Pittsburgh, Pennsylvania""","""54839""","""1961-02-16""","""Eric Red""","""From Wikipedia, the free encyclopedia.   Eric Red (born Eric Joseph Durdaller; February 16, 1961) is an American screenwriter and director, best known for writing the horror classics The Hitcher and Near Dark. 

Description above from the Wikipedia article Eric Red, licensed under CC-BY-SA,full list of contributors on Wikipedia...""",null,null,"""https://themoviedb.org/person/54839"""
